Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.22100000000000003,0.4280871670702179,-27.5
-22.5 to -17.5 %,0.986,1.9099273607748182,-22.5
-17.5 to -12.5 %,1.703,3.2987893462469735,-17.5
-12.5 to -7.5 %,4.032,7.810169491525423,-12.5
-7.5 to -2.5 %,8.891,17.22227602905569,-7.5
-2.5 to 2.5 %,18.73,36.280871670702176,-2.5
2.5 to 7.5 %,10.843000000000002,21.003389830508475,2.5
7.5 to 12.5 %,3.8299999999999996,7.418886198547215,7.5
12.5 to 17.5 %,1.671,3.236803874092009,12.5
17.5 to 22.5 %,0.5,0.9685230024213074,17.5
22.5 to 27.5 %,0.21800000000000003,0.42227602905569006,22.5
