Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.696,6.028583802511909,-27.5
-22.5 to -17.5 %,0.263,2.2780424426158508,-22.5
-17.5 to -12.5 %,0.857,7.423126894759635,-17.5
-12.5 to -7.5 %,0.9940000000000002,8.609787786920746,-12.5
-7.5 to -2.5 %,1.65,14.291901255954956,-7.5
-2.5 to 2.5 %,2.0740000000000003,17.964486790818537,-2.5
2.5 to 7.5 %,2.451,21.229969683845816,2.5
7.5 to 12.5 %,1.093,9.46730186227804,7.5
12.5 to 17.5 %,0.473,4.097011693373754,12.5
17.5 to 22.5 %,0.188,1.6284105673451708,17.5
22.5 to 27.5 %,0.806,6.981377219575573,22.5
