Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.473,2.1873843877173513,-27.5
-22.5 to -17.5 %,0.854,3.9493155752867186,-22.5
-17.5 to -12.5 %,1.903,8.800406955234925,-17.5
-12.5 to -7.5 %,3.199,14.793747687754347,-12.5
-7.5 to -2.5 %,3.261,15.080466148723643,-7.5
-2.5 to 2.5 %,2.6649999999999996,12.324269330373658,-2.5
2.5 to 7.5 %,2.7720000000000002,12.819089900110988,2.5
7.5 to 12.5 %,2.523,11.667591564927859,7.5
12.5 to 17.5 %,2.042,9.443211246762855,12.5
17.5 to 22.5 %,0.935,4.323899371069182,17.5
22.5 to 27.5 %,0.997,4.610617832038476,22.5
