Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,1.2339999999999998,2.4322459840346893,-27.5
-22.5 to -17.5 %,1.175,2.3159554548142305,-22.5
-17.5 to -12.5 %,3.166,6.240268059524982,-17.5
-12.5 to -7.5 %,6.419,12.652015374002165,-12.5
-7.5 to -2.5 %,8.924,17.589435301074204,-7.5
-2.5 to 2.5 %,10.764000000000001,21.216122992017343,-2.5
2.5 to 7.5 %,7.928999999999999,15.628264511678324,2.5
7.5 to 12.5 %,4.762,9.386025426234353,7.5
12.5 to 17.5 %,3.4419999999999997,6.784271213166451,12.5
17.5 to 22.5 %,1.383,2.725928845964324,17.5
22.5 to 27.5 %,1.537,3.029466837488912,22.5
