Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.8150000000000001,0.7949280663252867,-27.5
-22.5 to -17.5 %,1.741,1.6981224091684959,-22.5
-17.5 to -12.5 %,3.2760000000000002,3.195318215069496,-17.5
-12.5 to -7.5 %,9.708,9.468910021945867,-12.5
-7.5 to -2.5 %,21.599999999999998,21.068032187271395,-7.5
-2.5 to 2.5 %,27.36,26.686174103877104,-2.5
2.5 to 7.5 %,25.86,25.22311631309437,2.5
7.5 to 12.5 %,8.536999999999999,8.32674957327481,7.5
12.5 to 17.5 %,2.8409999999999997,2.7710314557425018,12.5
17.5 to 22.5 %,0.763,0.7442087295781518,17.5
22.5 to 27.5 %,0.024,0.023408924652523776,22.5
